SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,701 Swann Ave Unit ONE-404,Alexandria,VA,22301,999999,2,2.0,POTOMAC YARD,1639,,2022,45,610,864,Contingent,,,https://www.redfin.com/VA/Alexandria/701-Swann-Ave-22301/unit-ONE-404/home/179142569,BRIGHT MLS,VAAX2012110,N,Y,38.8293894,-77.0502802
PAST SALE,,Condo/Co-op,312 S Washington St #301,Alexandria,VA,22314,999999,2,2.5,OLD TOWN ALEXANDRIA,1414,,2021,114,707,505,Pending,,,https://www.redfin.com/VA/Alexandria/312-S-Washington-St-22314/unit-301/home/177360281,BRIGHT MLS,VAAX2009232,N,Y,38.8022764,-77.0472265
MLS Listing,,Single Family Residential,6053 Shaffer Dr,Alexandria,VA,22310,999999,5,3.5,VILLAGES AT HUNTINGTON,4400,9377,1995,17,227,,Active,,,https://www.redfin.com/VA/Alexandria/6053-Shaffer-Dr-22310/home/9763863,BRIGHT MLS,VAFX2071138,N,Y,38.7843206,-77.0820128
PAST SALE,August-30-2001,Townhouse,224 S Alfred St,Alexandria,VA,22314,999999,2,2.0,SWANN DAINGERFIELD,1384,1917,1890,20,723,,Pending,,,https://www.redfin.com/VA/Alexandria/224-S-Alfred-St-22314/home/11840809,BRIGHT MLS,VAAX2012658,N,Y,38.8034345,-77.0493966
MLS Listing,,Single Family Residential,5564 La Vista Dr,Alexandria,VA,22310,999999,4,3.5,GUNNELL,4131,9831,2003,18,242,17,Active,,,https://www.redfin.com/VA/Alexandria/5564-La-Vista-Dr-22310/home/179498577,BRIGHT MLS,VAFX2065422,N,Y,38.7961847,-77.1258426
PAST SALE,February-22-2013,Single Family Residential,6445 Vale St,Alexandria,VA,22312,999900,3,3.0,PINECREST,3290,30450,1949,14,304,,Pending,,,https://www.redfin.com/VA/Alexandria/6445-Vale-St-22312/home/9722640,BRIGHT MLS,VAFX2069420,N,Y,38.8287483,-77.159054
MLS Listing,,Townhouse,616 Queen St,Alexandria,VA,22314,999900,2,2.0,MANCHESTER,1620,,1974,4,617,400,Active,,,https://www.redfin.com/VA/Alexandria/616-Queen-St-22314/home/11862960,BRIGHT MLS,VAAX2013642,N,Y,38.8069247,-77.0462127
MLS Listing,,Single Family Residential,7912 New Market Rd,Alexandria,VA,22308,999900,4,3.0,HOLLIN HALL VIL,2731,10504,1955,33,366,,Contingent,,,https://www.redfin.com/VA/Alexandria/7912-New-Market-Rd-22308/home/9816753,BRIGHT MLS,VAFX2067092,N,Y,38.7426769,-77.0660028
PAST SALE,September-12-2014,Single Family Residential,8903 Mcnair Ct,Alexandria,VA,22309,999000,4,3.5,WOODLAWN ESTATES,3875,29492,1980,8,258,,Pending,,,https://www.redfin.com/VA/Alexandria/8903-McNair-Ct-22309/home/9826108,BRIGHT MLS,VAFX2066792,N,Y,38.7158239,-77.1159088
PAST SALE,September-7-2018,Single Family Residential,214 E Del Ray Ave,Alexandria,VA,22301,999000,3,1.5,DEL RAY,1405,3450,1930,4,711,,Pending,,,https://www.redfin.com/VA/Alexandria/214-E-Del-Ray-Ave-22301/home/11844334,BRIGHT MLS,VAAX2012574,N,Y,38.8264017,-77.0571884
